Value
"						STEAM TRAP"
"** SPECIAL FITTING **  CAP .688"" WALL LOTEMP STL A420 WPL6 ASME B16.9"
"** SPECIAL FITTING ** CAP .625"" WALL LOTEMP STL A420 WPL6 ASME B16.9"
"** SPECIAL FITTING ** ELL 45 DEG 0.625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** ELL 60 .625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** ELL 90 DEG LR .688"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG LR .750"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG LR .875"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG SR .625"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 DEG SR .688"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** ELL 90 LR 0.625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER CONC .750"" WALL X .562"" WALL LOTEMP STL A420 WPL6-W 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .500"" WALL LOTEMP STL A420 WPL6-W 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .688"" WALL X 0.500"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .688"" WALL X 0.625"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .688"" WALL X SCH 80S A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** REDUCER ECC .875"" WALL LOTEMP STL A420 WPL6-W 100%RT"
"** SPECIAL FITTING ** REDUCER ECC 0.625"" WALL X 0.500"" WALL A403 WP304H-WX 100%RT"
"** SPECIAL FITTING ** TEE .625"" WALL LOTEMP STL A420 WPL6-W ASME B16,9"
"** SPECIAL FITTING ** TEE .688"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** TEE .750"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"** SPECIAL FITTING ** TEE RED .625"" WALL LOTEMP STL A420 WPL6-W ASME B16.9"
"** SPECIAL FITTING ** TEE RED .688"" WALL X .500"" WALL LOTEMP STL A420 WPL6-W 100%RT ASME B16.9"
"0.19 in Plate Steel, 4.92 in X 4.92 in"
"0.25 in Plate Steel, 1.97 in X 3.94 in"
"0.25 in Plate Steel, 2.24 in X 2.76 in"
"0.25 in Plate Steel, 2.76 in X 2.76 in"
"0.25 in Plate Steel, 3.54 in X 3.54 in"
"0.25 in Plate Steel, 3.74 in X 1.73 in"
"0.25 in Plate Steel, 3.74 in X 3.74 in"
"0.25 in Plate Steel, 3.94 in X 1.97 in"
"0.25 in Plate Steel, 4.33 in X 4.33 in"
"0.25 in Plate Steel, 4.49 in X 4.49 in"
"0.25 in Plate Steel, 4.92 in X 4.92 in"
"0.25 in Plate Steel, 5.00 in X 5.00 in"
"0.25 in Plate Steel, 5.12 in X 3.94 in"
"0.25 in Plate Steel, 5.12 in X 5.12 in"
"0.25 in Plate Steel, 5.31 in X 5.31 in"
"0.25 in Plate Steel, 5.51 in X 5.51 in"
"0.25 in Plate Steel, 5.91 in X 3.94 in"
"0.25 in Plate Steel, 6.50 in X 6.50 in"
"0.25 in Plate Steel, 6.89 in X 6.89 in"
"0.25 in Plate Steel, 7.01 in X 7.01 in"
"0.31 in Plate Steel, 5.51 in X 2.95 in"
"0.38 in Plate Steel, 1.97 in X 0.98 in"
"0.38 in Plate Steel, 1.97 in X 1.97 in"
"0.38 in Plate Steel, 1.97 in X 3.94 in"
"0.38 in Plate Steel, 10.83 in X 10.79 in"
"0.38 in Plate Steel, 10.83 in X 13.03 in"
"0.38 in Plate Steel, 11.81 in X 3.63 in"
